,hasil
391,kalimantan katanya bebas gempa yah tapi semoga tetep pindah dah ibu kota 
392,zulkifli hasan tak elok ribut pindah ibu kota kalau papua masih bergejolak 
393, utang tambah banyak masih mikirin pindah ibukota pindah ibu kota itu butuh duit omm apa kita mau ngutang lagi sama china utang tambah banyak rakyat tambah sengsara koplakk
394,jika nantinya ibu kota pindah bagaimana dengan kantor perwakilan negara asing kedubes dan organisasi internasional yang sudah ada di jakarta semoga aspirasi mereka sudah didengarkan pula 
395, presiden soeharto prnah mengusulkan agar ibu kota pindah ke jonggol di jawa barat pemilihan itu dsebut ckup strategis krn jaraknya tak jauh dr jkt presiden soeharto pernah mengeluarkan keputusan presiden keppres tahun mengenai pengembangan jonggol sbgai kota mandiri
396, bukan kegagalan jokowi tp kegagalan sekelompok orang termasuk sherly annavuta yg blm mau menerima ibu kota pindah ke luar jawa
397,bgtu ibu kota rencana pindah duit dari mana eh muncul berita bpjs di ambil alih cina terus muncul lg berita mobil untuk pejabat pemerintah baru duit dari mana akan muncul apa lg ya yg berhubungan dgn cina tukar guling plus kasur ama selimutnya 
398,pindah ibu kota siapapun presidennya pasti bs bukan jokowi aja tp pertanyaannya apa sih urgensinya pinda ibu kota skarang di saat rakyat berteriak susah fisinya membangun sdm malah yg di genjot fisik apa gak salah tu 
399, kalem kalo ibu kota pindah aing ikut
400, memang nya pindah ibu kota seperti pindah rumah mungkin butuh atau tahun lagi asn yg tak mau pindah sudah keburu pensiun 
401,mungkin dek perlu tau klo bapak tai teman ahok indonesia ga setuju klo ibu kota pindah 
402, framing supaya ibu kota pindah ke kalimantan 
403,kalo ibu kota jadi pindah pelajaran sejarah nambah materi dan buku sejarah makin tebel hahaha untung udah lulus
404,kita sudah bahas pindah ibu kota masih bicara penista agama 
405,blm juga d lantik periode instansi mu sudah tidak pro rakyat pa yg terhormat jangan dulu mikirin pindah ibu kota pikirin dulu instansi yg model gini 
406,sejarawan lipi dukung skema tukar guling aset untuk pindah ibu kota via 
407, pindah ibu kota bukan pemborosan yg efektif bro kwkwkkw
408,jiaaaah klo mayoritas pns mau pensiun dini krn ogah ke kalimantan ntar siapa dong yg berbondong masuk pns 
409,baca beberapa negara yg pindah ibu kota udah pernah belum 
410, pak jokowi banyak yg bilang bapak gagal menjadi gubernur dan presiden harusnya tanya dulu rakyat boleh apa tidak ibu kota pindah takut nya hanya ingin legacy bapak aja 
411,survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
412, kalo ibu kota pindah fpi ga ush di ajak dia mah rese biang kerok 
413,ini salah satu alasan kenapa ibu kota harus pindah ada yang meramal tahun persen jakarta utara tenggelam kata sejarawan lipi soal faktor pemindahan ibu kota tahun dan kini 
414,ada dua isu besar pindahnya ibu kota dgn adanyah tuntutan papua hal yg hrs dipenuhi apakah pengalihan isu pindah ibu kota dgn proyek obornya atau keduanya agar masyarakat tdk focus ttps m facebook com story php story_fbid id sfnsn mo
415, semua masalah ini akan selesai setelah kita pindah ibu kota paham 
416,sebaiknya ibu kota pindah jawa timur saja
417,sebagian bangsa indonesia setuju ibu kota indonesia pindah ke kalimantan tempatnya strategy berada ditengah kepulauan nkri dikalimantan fpi hti pks gak bergerombol spt jaka a penuh demo ber silit pindah kalimantan aman bs merata jakarta ngeri tenggelam polusi jelek 
418,di balik impian pindah ibu kota lewat 
419,yang diributkan cuma pindah ibu kota dan mobil dinas mentri coba fikirkan ekonomi rakyat bawah yang saat ini terpuruk tak menentu 
420, lunasin dulu utang negara bsru pindah ibu kota
421,pindah ibu kota solusi semua masalah pemerintahan jokowi 
422,untuk yang lain bolehlah ngutang tapi untuk pindah ibu kota negara jangan pake ngutang malu 
423,daya beli masyarakat rendah seharusnya pemerintah meningkatkan kemampuan daya beli masyarakat dengan menumbuhkan ekonomi kreatif bukan pindah ibu kota 
424,ayo referendum utk ibu kota pindah atau tidak utk menghindari kepentingan pribadi yang menolak artinya punya kepentingan pribadi karena ibu kota untuk semua warga nkri 
425,jawabannya sudah ada impor dari luar aja survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
426, setelah ibu kota pindah zakardah akan jadi kota penampungan onta radikal 
427, setuju sekali pak urus bpjs dulu sampai baik dan tuntas pindah ibu kota belum perlu kasian rakyat kecil kalau berobat hanya dikasih obat yang murah meriah dan khasiatnya rendah rawat inap saja terbatas pelayanan dokter minimalis karena di bayar rendah 
428,wacana pindah ibu kota sejak era soekarno baru jokowi yang berani eksekusi 
429,selamat pagi ibu kota survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
430,batu dikomentarin ibu kota negara mau pindah sama mobil baru buat menteri meneng aeelaaaaah curek bocah 
431,daripada ibu kota dipindahin ke kalimantan yg jauh dari jakarta dan butuh dana besar mungkin buat sementara pindah ke kalimalang aja dulu yg rada deket cc bu carik 
432,makanya proses nya di mulai sejak sekarang tanpa di mulai kapan akan pindah kenapa anda harus gusar saat ibu kota harus di pindah bukan nya banyak negara sudah melakukan nya dan berhasil 
433, iiat aja thn ke depan apakah terlaksana ibu kota di pindah jangan jangan 
434,framing paling jahat adalah ketika usulan pindah ibu kota disandingkan dg usulan anies baswedan rp t opini digiring jokowi memilih memindahkan ibu kota yg biayanya rp t dari pada mengobati masalah jakarta dan framing ini masih berlangsung untuk mainan 
435,percuma pindah ibu kota klo kaum onta masih meraja lela pindahkan saja ontanya
436,pak jokowi mikir gak rp triliun daripada buat pindah ibu kota lebih baik untuk kesejahteraan papua 
437, ibu kota pindah dan kalian panik gegara lahan basah pindah tangan awas jgn sampe stroke politik itu pembodohan public 
438, bikin pengen cepet pindah ibu kota neh 
439, guoblog pindah ibu kota itu tidak haram dan tidak melanggar syariah guoblog anak cucu kiya yg akan merasakan nya jakarta teh enggeus sumpek guoblog daripada apbn digarongin gubernur esmosi terus akhirnya aa 
440,kepala bmkg dwikorita karnawati membenarkan bahwa kalimantan merupakan pulau dengan tingkat kegempaan relatif paling rendah di indonesia karena memiliki jumlah struktur sesar aktif yang lebih sedikit 
441, rizal ikut panik juga ya pusing dong ya ibu kota pindah lahan basah pun pindah tangan 
442,pindah kost apa pindah hati apa pindah ibu kota hmmm
443,akhirnya ada cara efektif cuci gudang para pns mereka rata rata tak ingin pindah karena menganggap daerah yang akan dijadikan ibu kota baru kurang fasilitasnya alias pns yang terbiasa hidup di zona nyaman 
444, ㅤ ㅤㅤ politeknik piksi maksudnya aku lahir di jakarta tapi pindah ke bandung kota kelahiran ibu ㅤ
445, pindah ibu kota efektifkah mmc video 
446, ooooooo ternyata the pepes blon mati persiapan yang udah pasang batu ajaib di ibu kota yg bakal pindah 
447, analisa pindah ibu kota sesungguhnya cara pemiskinan sistematis dstnya
448, klo tdak ada yg sulit bagi yg punya kemauan mudah untk mengatasi bnjir dan macet d jakarta klo jd gubernur apalg klo jd presiden sudah jd malah pindah ibu kota jd siapa yg pemalas 
449, bisa kok mau pindah setahun sekali juga bisa pindahin aja ibu kota di taman mini 
450,menjadi asn pns itu harus bersedia ditempatkan dimanapun wilayah indonesia jika nanti sudah menjadi keputusan negara semestinya asn mendukung _ survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
451,ibu kota pindah terus orang utan mau pindah kemana 
452, dan juga tapi kok biaya pindah negara eh ibu kota ko sudah ada katanya ya 
453, betul skli kita mesti tau mksd dan tujuan pak jokowi merncankn pindah ibu kota 
454,ibu kota ri mau pindah apakah permasalahan ibu kota ri saat ini akan ikut pindah juga jika terjadi pindah apa ibu kota baru tidak timbul permasalahan baru terus bertambah dan tidak mengurangi permasalhan 
455, sya pndukung pak jokowi tpi untuk rncana pindah ibu kota sya sgt tdk setuju knpa anggran untuk pindah ibu kota tdk untuk kesejahteraan rakyat sja msh bnyak rakyat miskin yg hrs di tgung olh negara 
456, jgn kau bahas juga mobil dinad baru ya bahas juga pindah ibu kota yg katanya tdk ada gempa trus tiba bsknya diguncang gempa 
457,pindah ibu kota adalah satu dari sekian banyak tantangan bangsa khususnya pemerintah saat ini ada bnyk tantangan lainnya jkrt dgn gubernurnya tak kalah besar pr yg hrs dikerjakannya 
458, ilc makin kesini mkn kelihatan berpolitik dan berpihak contoh ilc yg lalu tema pindah ibu kota harusnya lbh banyak undang pakar yg bs jelaskan plus minus bila pindah ini kok malah undang politisi yg bicaranya di awang akibatnya dimasy cm saling maki tdk bikin pintar 
459, pindah ibu kota banyak proyek infrastruktur ehm aku tau apa yang kau mau 
460, jawa adalah kunci bisa jadi negara sendiri jawa jika ibu kota pindah serious reminder 
461, harus pindah biar gak ada lagi di ibu kota
462,nampar banget nih gimana sis ahok tak setuju pindah ibu kota lho waktu itu beresin jakarta lhh kita masih susah jangan buat masalah baru intinya seperti itu 
463,mmng berat menerima konsekuensi pindah rumah banya kenangan manus harus direlakan begitu pula ibu kota tp jk sekian tahun tak mbawa kod cita tak salah jk hijrah 
464, implikasi ketatanegaraan versi dosen up jika ibu kota pindah 
465, bekasi mau gabung ke dki daerah khusus ibu kota negara mau gabung dg dki tapi dki mau pindah rencananya coba dari dulu ngomongnya org mau pindah baru mau gabung enggak terlambat sich
466, pikirin nasib rakyat lu bukan pikirin pindah ibu kota utang sj sdh segunung emang lu yg bayar 
467, sy setuju pindah ibu kota ke kalimantan
468,mayoritas pns akan pensiun dini jika pindah ibu kota 
469,pak tau gak mau cerita dia gak peduli mah sama bekantan orang utan rusa tranggiling dan satwa lainnya gak peduli separo dari oksigen kalimantan berkurang yg penting ibu kota pindah ah gak peduli bpjs gak peduli utang nambah kan motonya katanya
470,ya kalo sdh memenuhi syarat pensiun dini aja yang belum memenuhi syarat ada mekanisme pengunduran diri indonesia itu luas piye menurutmu survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
471,mindahkan ibu kota itu akan menjadi catatan sejarah bangsa banyak pihak yg harus dilibatkan berbagai kajian harus dilakukan bukan seenaknya rezim ntar berganti presiden ingin pindah lagi kan kacau 
472,teman sahabat yuk santai menjawab pertanyaan apakah setuju ibu kota pindah ke kalimantan terima kasih atas partisipasinya
473,wajib tahu kelebihan dan kekurangan ibu kota baru yang jadi pindah ke kalimantan timur 
474, mungkin ada baiknya bapak ibu kota negara pindah ke solo aja kuliner yg enak dapat jadi daya tarik para pemimpin dunia untuk berkunjung ke solo disamping itu bisa hemat bapak bisa ngantor di rumah sambil timang cucu 
475,masalah sebenarnya bukanlah pindah ibu kota tapi kesulitan mengelola negara 
476, lebih tentrem lagi kalo ibu kota jadi pindah tinggal anies saja sama warga jakarta 
477,mayoritas pns akan pensiun dini jika pindah ibu kota 
478, para togog cepet pindah ke ibu kota baru biar kami disini menikmati jkt yang sedang bebenah 
479,pakar hukum tata negara universitas pancasila muhammad rullyandi mengatakan presiden jokowi memiliki kewenangan untuk memindahkan ibu kota 
480, dan juga kurang oksigen yg bisa mempengaruhi kecerdasan presiden maka diperlukan pindah ibu kota 
481,lah situ gak liat sampe akhir tayangan ilc itu dijelasin sama profesor salim said kalo soekarno gak bener mao mindahin ibukota faham gak sih ada hal yg lebih urgen ketimbang pindah ibu kota skrg ini beresin dulu kondisi perekonomian kita itu dulu baru ibu kota pindahin 
482,bang ada yang lebih penting dari pada ibu kota pindah rumah 
483,nah terus grgr berita yg ibu kota mau pindah gua jd mimpi masa kan gua tinggal di tangerang trs gua mimpi ibu kota beneran pindah tapi pindahnya jakarta nya diangkut wkwkwkwkwk
484, masih banyak yang lebih penting daripada pindah ibu kota
485,ibu kota negara pindah biarlah para ahlinya bekerja sebagai warga ikut saja kata ahli untuk kebaikan indonesia kalau semua diminta pendapat maka akan ada juta pendapat kapan memutuskannya apalagi kalau nantanya ke politisi yg cuma jago ngotot tapi bobot data 
486,ibu kota pindah jakarta ganti nama 
487, tu mayoritas komponen masyarakat tak setuju pindah ibu kota ayak² wae papah presiden bikin rencana pindahi ibu kota dia pikir macem bedol desa pa sdh gitu maksa pulak 
488,survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan sudah pada nekat nih pns lebih baik kehilangan masa depan dari pada ikut pindah memang halu pindah ibukota dari ibu kota cukup intens seperti dki sudah tak laik lagi 
489, lalu masalah kurs us dollar yang direncanakan rp pada tahun ini kenyataannya masih jauh panggang dari api saat ini kurs usd masih diatas rp gak usah pindah ibu kota pa lebih baik benahi ekonomi dan penuhi janji bapak periode pertama 
490,jaringan telekomunikasi menjadi vital jika ibu kota pindah ke kalimantan 
491, implikasi ketatanegaraan versi dosen up jika ibu kota pindah 
492,survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
493, waduh harus buru pindah ibu kota ini bahaya
494,pindah ibu kota tidak didasari dengan pengajian semata tetapi pindah ibu kota harus berdasarkan undang undang jika tanpa uu presiden melanggar konsitusi bisa fatal jadinya 
495, ada orang yg dimintai opini ttg keoindahan ibu kota menolak cenderung menolak lainnya setuju pindah masalah demikian besar digantungkn pd opini orang ini penduduk indonesia itu juta an emang tak ada orang pintar lagi selain orang itu 
496, panutan mereka tsamara ya pantes aja mainnya kurang jauh si dunia milenial kita dan mereka beda cara pikirnya yg penting pindah ibu kota aja ga mikirin hutan kalimantan 
497,ya udah mending gue aje kirim ke kalimantan deh gue rela kesana lagi survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
498,hari minggu bangun jam segini demi aja buat mengais rejeki di calon ibu kota nkri harga mati ini nunggu orang janjian jam berapa belum muncul juga ibu kota sudah mau pindah tapi kebiasaan masih aja tetap 
499, betul pemindahan ibu kota serampangan pidato kenegaraaan ijin pindah ibu kota itu pemberitahuan orang kurang ilmu yang menganggap sebagai legalitas ijin terpenuhi menunggu jawaban menteri bappenas adu argumen di tv tanpa perwakilan thanks salam 
500,selamat pagi ketika bangun berharap ibu kota negara udah pindah eh ternyata belum 
501,betul sekali saran yg pas dan bijak selesaikan dulu yg mendesak mikir pindah ibu kota kemudian 
502,survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan jae pikir memindahkan ibukota mungkin semudah memindahkan bidak catur 
503, ngurus utang aja udah berat sok an mau pindah ibu kota hadeuhhh negeriku
504,semakin cepat ibu kota pindah baik untuk pemerataan ekonomi ri 
505,ibu kota pindah ke kalimantan anies jakarta tetap jadi pusat ekonomi dan bisnis 
506, benar ide pak sandi negara hutangnya sudah besar era jokowi berapa besar lg dg pindah ibu kota rakyat masih besar kemiskinan kebijakan pemerintah belum tentu benar ide rakyat bisa jadi baik kenapa sampai ngotot pindah ibu kota apa krn tekanan asing atau cari proyek 
507,kira investor yang paling diuntungkan jika ibu kota pindah ke kalimantan itu siapa ya 
508,ibu kota australia canberra ibu kota jepang tokyo ibu kota indonesia mau pindah
509,tak dukung ibu kota pindah gerindra bpjs kesehatan aja minta tolong tiongkok warta ekonomi 
510, semoga yg dikritik mikir walau sedikit sanksi 
511, itu hari kamis ini yg jumat beda sehari bro benar konyol harus nya yg mulia bisa mengkondisikan bawahannya sehingga tidak ada kesan ada misskoordinasi itu prinsip dasar dalam pemerintahan
512, selama ini kebijakan yg dikeluarkan sering tdk konsisten dan sering dianulir sendiri wajar jika warga mempertanyakan kebijakan pindah ibu kota ini kamis menteri atr bilang fix di kaltim jumat dibantah yg mulia masih menunggu kajian kan konyol
513, setuju ibu kota indonesia pindah karna dki jakarta itu adalah ibukota perekonomian indonesia jd lbh baik pindah agar tdk membuat ibukota menjdi ruwet seperti sekrng ini 
514,harus wajib utk sbg kajian yg dalam utk menjaga kelangsung nkri yg berjaya dan kuat jika pindah ibu kota jangan sampai terjadi yg dismpaikn prabowo ketika pilpres nkri musnah walau fisi jika pertahanan lemah bisa terjadi akibat serang rudal lawan
515, maklumkanlah perkataannya anak abg ini dan kita harus mngerti dgn anak yg baru mulai kepanasan ini dia panas dgn gagasan yg mau diteruskan oleh pak jokowi tuk pindahkan ibukota mang apa salahnya pindah ibu kota klu emang lo uda enak di jakarta yo gak usah ikutan pindah 
516, hari ke ibu kota pindah jokowi sembari menatap ke jendela kangen liat monas staff jadi gimana pak jokowi kita balik lagi ke jakarta staff siap bosque 
517,lanjut hari ke ibu kota pindah jokowi mana tu dokumen yg kemarin staff masih di jakarta pak jokowi minta kirim pake paket yes staff oke bosque 
518,pindah ibu kota efektifkah mmc video 
519, bro ibu kota pindah ke garut ya 
520, bro bilangin ibu kota pindah bekasi aja 
521, kita tidak bisa terus menerus menggantungkan ke satu pulau ini makanya tidak bisa pindah ke pulau reklamasi dan jonggol kita pindah ke suatu tempat 
522,benahi management pengelolaan negara yg salah urus rugi menjadi untung rakyat sejahtera bukan ganti ibu kota wangsit siapa pindah ibu kota obor 
523, rencanq pindah ibu kota ini kan udah lama sebelum masa jokowi lagian kalo pindah kan ga besok juga pasti ada prosee 
524,idk tp nntn ilk yg si influencer milinial ngmg gmn gitu ibu kota knp ga pindah ke aceh atau papua aduh bodo amat neng 
525, hukum jokowi tak perlu konsultasi dpr mpr untuk pindah ibu kota katadata news 
526, ini mungkin sabotase dari yg tidak setuju ibu kota pindah 
527,pindah ibu kota kecil duit ada bpjs berat duit 
528, agustus kemarin katanya pak jokowi menyelenggarakan rapat di gedung dpt untuk minta izin pindah ibu kota nah tp pak jokowi blm izin ke rakyat tiba w kepikiran kenapa pak jokowi ga bikin voting aja ya di fitur poling instagram atau twitter 
529,bapak bapak kalau ibu kota pindah bukan semuanya ikut pindah hanya sistem pemerintahanya aja pak dan monas tetap ada di jakarta pak buset dah tidur bapak bapak saya ga bisa tidur karna obrolan anda anda 
530,gerindra dan prabowo kenapa kesel ya ibu kota pindah 
531,prabowo nggak terima ibu kota pindah 
532,ada yg panik gegara ibu kota pindah 
533, ibu kota pindah mulai dari nol lagi menata dan jakarta akan lumpuh dan yg lebih ngeri lagi ntar utang makin numpuk jangan lebay ikut an pindah seperti negara lain belum tentu cocok ini kan indonesia beda dg negara lain bisa ada negara jawa nanti dgn ibu kota tetap jakarta 
534,eks menteri soeharto kritik pindah ibu kota desain old trafford jakarta 
535,indef ibu kota pindah tidak otomatis kurangi ketimpangan ekonomi 
536, makanya ibu kota pindah aja biar jakarta jadi seperti thn yang lalu inilah bukti maju kotanya bahagia warganya
537,habis baca berita tentang ibu kota yg udah siap pindah tentang hutang yg numpuk dan tentang impor barang maupun pekerja asing yg makin membludak parah yang seharusnya tak perlu dilakukan tapi sialnya harus juga yaap kesimpulan dari semuanya 
538,cukup sekian keluh kesah saya sebagai warga jakarta pada pemimpin ibu kota indonesia yg sedikit lg akan pindah maaf bila kritik saya kurang berkenan tapi itulah keluh kesah saya pak saya mengkritik itu tandanya memang saya peduli dengan jakarta terima kasih 
539,prabowo dan pendukungnya panik karena ibu kota akan pindah ke kalimantan 
540, apalagi kami yg tinggl d kalimantan sedih lah lihat kemarau panjng kebakaran trus ibu kota negara d pindah habis lah satwa kalimantan 
541, pindah ibu kota bukan macam pindah kosan apalagi dengan dana hasil hutang pindah kosan pun nunggu punya uang bila hanya berhutang alangkah nistanya kita orang burungpun bersarang terbang mencari puing bukan dia menunggu ranting ngumpul tertiup angin masa kala sama burung 
542, eks menteri soeharto kritik pindah ibu kota desain old trafford jakarta 
543, menurut gue ini sih satire menyindir rencana pemindahan ibu kota jangankan pindah pindah setiap atau tahun untuk pindah sekali aja ruwet setengah mati so hati hati membully satire 
544,pindah ibukota ape pindah ibukoss emang bahaya pengaruh air kolam butek itu ngeriii 
545, ini sie orang super goblok bin gatot ibu kota pindah sdh di rencanakan seblum jokowi jd apa x mk y bljr sejarah jd gak gatot
546,bpjs aja gak keurus mau pindah ibu kota ini pemimpin gak ada bijak nya kalo kayak gini trus gak akan lama kau jadi pemimpin dan indonesia gak akan lama juga bubar 
547, iya kaltim benar tapi belum tahu lokasi spesifiknya di mana yang belom ibukota resmi pindah hijrah mudah mudahan pemimpin pemimpin kita sebagai wakil rakyat pada hijrah juga untuk indonesia yang lebih baik lagi 
548,kalo ibu kota mau pinda ke kalimantan kapan donk cincinnya pindah ke aku 
549,dulu lebih kejam ibu tiri dari pada ibu kota sekarang lebih kejam ibu kota pindah dari pada ibu tiri 
550,survei berencana ajukan pensiun dini mayoritas pns ogah pindah ke kalimantan 
551,survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
552, dungu aja org bodoh aja mike klw mau pindah ibu kota negara lagi keritis gini
553, qna kalian setuju ngga kalo ibu kota pindah explain your argument below 
554,pindahnya ibu kota akan membawa dampak yg sangat positif ibukota baru pns baru yg akan menciptakan peradaban baru meninggalkan kebiasaan lama yg sulit diperbaiki survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
555,prabowo tidak suka ibu kota pindah ke kaltim 
556,prabowo tidak suka ibu kota pindah ke kaltim 
557,wacana pemindahan ibkot itu seperti mobil esemka yang tak pernah kejadian pemindahan ibukota adalah cara untuk menutupi semua kegagalannya menjadi presiden survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
558,prabowo tidak suka ibu kota pindah ke kaltim 
559,solusi yg dikasih buat negara ga pernah jelas pindah ibu kota jgn jadi ajang buat nambah utang aja nih haha
560,bagus ganti pnsnya rakyat byk yg antri pengen jadi pns mungkin ibukota baru butuh pns baru suasana baru pikiran baru pns yg jujur jauh dari pungli dll 
561, macet ga bisa diatas mending pindah ibu kota neng biar bebas macet
562, orang luar negeri udah bersiap siap pindah ke planet lain pindah ibu kota saja anda ragukan kemampuan bangsa ini pantas diragukan kemampuan anda selama ini maju terus pak 
563,prabowo tidak suka ibu kota pindah ke kaltim 
564,gw pengen pindah ke ibu kota baru 
565, oh klo masalah tu ma jgn takut kan ada aku aku yg atur semuanya tgg aja sampai ibu kota pindah 
566, bisa aja tapi prosesnya lama sementara kita dituntut utk mengejar target apalagi ibu kota pindah ke tempatku kan sedih kabut asap makin tebel 
567, mungkin itu sabotase fpi hti yg tdk ingin pindah ibu kota udah mirip togog blm 
568,iwan fals usul pemindahan ibu kota indonesia tiap tahun pindah ibukota tiap th atas rusak bawah ikut rusak alangkah baiknya ibukota dipindah ke truck container agar bisa mobile segera menuruti keinginan pemimpi dan tak buang biaya dr pajak rakyat 
569, ini kita ngomongin hal yg sama ga sih maksudku tadi dah siap pindah ibu kota apanya yg diberangkatkan 
570,salah satu alasan pemindahan ibukota adalah kondisi jakarta yang macet dan banjir yang mana ini adalah janji jokowi dan tim nya saat pilgub jakarta mudahnya dapat kita pahami bahwa janji jokowi mengatasi jakarta telah gagal 
571, gue sempat ikut diskusi dan banyak yg sepakat kalau pindah ibu kota ini bukan cm soal memindahkan fisik tp jg semacam menginkubasi kerja pemerintah dgn citra dan semangat yg baru optimisnya bisa jd role model untuk ke daerah jg biar lbh baik kita butuh diskusi 
572,kalau ibu kota pindah ke kalimantan timut aku akan cari kontrakan di kalimantan timur aku akan terus mengadu nasib di ibu kota biar ada istilah sekejam kejamnya ibu tiri lebih kejam ibu kota bodo amat aku suka tantsngan 
573, ok kita tahu negara lagi defisit anggaran duitnya dri mana buat pemindahan ibukota pertanyaan sya jelas ngerjain nyari utang buat biaya pemindahan ibu kota dri awal ditanya mana admin lagi bnyak dicari apa urgensinya pindah ibukota 
574, salah satu alasan ga masalah dgn pindah ibu kota p
575,nihhh coba buka link ini buat para yg mendukung pindah ibu kota kemarin 
576,cara pandang masyarakat berubah jika ibu kota pindah 
577,survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
578,katanya mau fokus ke sdm tapi kok sibuk pindah ibu kota 
579, pindah rmh kontrakan aja ribet bijimana mo pindah ibu kota tiap taon hadeuh togog togog
580,mantaaaab semua pada sibuk nyanyi jadi mana sempat pindah ibu kota negara tapi bila semuanya nyanyi yang dengar lagu saya siapa ya hehehe 
581,yth bpk presiden ri klo ibukota jdi pindah monas ikut dibawa ga pak ga afdol rasanya ibukota tnpa monas trus artis juga hrus ikut pindah kah kan berlabel artis ibu kota 
582, aku setuju kalo ibu kota pindah ke kalimantan kamu 
583, ya bener jgn sampai saja ketika ibu kota pindah maka tanah di kalimantan mulai banyak di incar dan akhirnya berdampak pada penebangan hutang iss amit amit cukup sudah aset negara habis terjual jgn lagi hutan kami di gundulin oleh orang pintar tapi tolol 
584, thailand ibu kotanya tetep di bangkok filipine masih di manila kita mau pindahkan ibu kota pindah rumah saja repot apalagi pindah ibu kota
585,berita terpopuler detikfinance adalah menteri era soeharto emil salim mengkritik rencana pindah ibu kota selain itu soal desain markas baru persija 
586, amien rais referendum papua diagendakan majelis umum pbb makanya buat mr jangan anggap sepele papua jangan bilang bukan urusan saya jangan serakah dgn ingin pindah ibu kota untuk bangsa 
587,kalau ibu kota negara pindah ke kalimantan tugu monas ikut pindah juga gak ya nanya serius 
588, manusia yg protes dg pindahnya ibu kota negara adalah org serakah dan tdk kreatif takut berjuang dalam hidup khususnya persaingan ekonomi lagian mental pejabat kita ini mana ada bisa berbuat adil merata caranya cuma satu pindah ibu kota akan membawa pemerataan ekonomi bgsa 
589, deal ibu kota pindah ke malang 
590, ah ada lagunya terlambat sdh kau datang pda mereka yg sdh khilafah sdh berjuta bnyaknya dan tak lagi pancasilais mau pindah kmna ibu kota tk mnyelsaikan msalah yg dasar yitu terbelahnya petiwi krn faham ideologi
591, si nganu suruh mindahin wc aja om gampang hahaha ibu kota di pindah indinesia bangkrut
592, awas korupsi atas nama pindah ibu kota 
593, apakah ketika ibu kota pindah jakarta akan sembuh dan bagaimana jika hari esok sesudah pindah tidak akan membuat penyakit baru di kota yg dijadikan ibu kota 
594,weh jadi pindah ni ibu kota tertjinta kita 
595,sejarah mencatat ternyata ibu kota ri pernah pindah 
596,survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
597, ibu kota negara kok kek gini yah masa kelompok pengusung identitas dan rasis di pelihara oleh gabener jkt makanya sangat urgent ibukota ri memang kudu di pindah dr jakarta dan skrg orang yg mengusungnya paling ribut menentang pemindahan ibukota ini 
598, ibu kota mau pindah ke kalimantan ibu kita kapan mau besanan 
599,diperjelas dulu biaya pindah ibu kota dari perkiraan hampir rp t menurut bappenas yg bersumber apbn sekitar rp t selebihnya kerjasama swasta bumn dan skema lainnya sementara rp t menyembuhkan jakarta asal tau aja ya sama dg tahun total apbd kaltim senjang 
600, bekasi selalu tidak ada yg tau sebentar lagi mau jadi jadi bagian jaka a jaka a tenggara klo ibu kota fix pindah hahaha
601,berita terpopuler detikfinance adalah menteri era soeharto emil salim mengkritik rencana pindah ibu kota selain itu soal desain markas baru persija 
602, pindah ibu kota bisa obligasi 
603,ibu kota pindah setuju ngga kalian kalo aku nggaakkkkk kasih alasan dong kenapa kalian setuju plisss
604, akal an doang ki etamh pasti pemerintah d salahkeun ku gerombolan nana geura pindah lah ibu kota sekalian monas na bawa jigana moal bisa reunian deui tah 
605, emg gubernur minus ide makin cepat ibu kota pindah makin baik bukannya tambah bagus malah tambah gak karuan bener gabener
606,nanti kalau ibu kota sudah pindah artis yang tinggal dan tenar di jalarya gak akan ada lagi istilah artis ibu kota dong ya 
607,pindah kontrakan aja ribetnya bukan main lah situ pengin pindah ibu kota please ini mah dipikir lagi kalo mau pindahan 
608, sepakat om daripada pindah ibu kota mending cepet nih selesaikan kasus mega korupsi ini sebelum terlambat uangnya di gondol para penghianat bangsa akibatnya rakyat jadi sengsara cepat selesaikan kasus ini 
609,survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
610,prof didik j rachbini keputusan pindah ibu kota serampangan 
611,mendingan pindah ibu kota atau sembuhkan sakit jakarta menurut tim peneliti pemindahan ibu kota indef rizal taufikurahman besarnya biaya untuk memperbaiki jakarta akan memberikan dampak positif yang jauh lebih besar 
